bitter melon	Spring@;Summer@;Autumn	Vegetable#_0.5#_large@;Vegetable#_1#_medium@;Vegetable#_75#_g (cooked)@;Vegetable#_2#_small@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)	
black pepper	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp@;Other#_1#_some	
black plum	Summer	Fruit#_150#_g@;Fruit#_2#_whole	
blackberries	Summer@;Autumn	Fruit#_1#_cup@;Fruit#_150#_g	
blueberries	Spring@;Summer	Fruit#_1#_cup@;Fruit#_150#_g	
bok choy (asian green)	Spring@;Autumn@;Winter	Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)	
boysenberries	Summer	Fruit#_150#_g@;Fruit#_1#_cup	
bread	Spring@;Summer@;Autumn@;Winter	Grain#_1#_slice@;Grain#_40#_g	
broccoli	Spring@;Autumn@;Winter	Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)	
broccolini	Winter	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)	
brown rice	Spring@;Summer@;Autumn@;Winter	Grain#_0.5#_cup (cooked)@;Grain#_0.25#_cup (raw)@;Grain#_100#_g (cooked)@;Grain#_50#_g (raw)	
brussels sprouts	Spring@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)	
buckwheat	Spring@;Summer@;Autumn@;Winter	Grain#_100#_g (cooked)@;Grain#_0.25#_cup (raw)@;Grain#_50#_g (raw)@;Grain#_0.5#_cup (cooked)	
bulgur	Spring@;Summer@;Autumn@;Winter	Grain#_0.25#_cup (raw)@;Grain#_0.5#_cup (cooked)@;Grain#_100#_g (cooked)@;Grain#_50#_g (raw)	
butter	Spring@;Summer@;Autumn@;Winter	Oil#_8#_g	
buttermilk	Spring@;Summer@;Autumn@;Winter	Calcium#_250#_ml@;Calcium#_1#_cup	
cabbage	Spring@;Summer@;Autumn@;Winter	Vegetable#_75#_g (raw)@;Vegetable#_1#_cup (raw)	
capsicum	Summer@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_2#_small@;Vegetable#_0.5#_large	
capsicum (green)	Summer@;Autumn@;Winter	Vegetable#_0.5#_large@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_2#_small@;Vegetable#_150#_g (raw)	
capsicum (red)	Summer@;Autumn@;Winter	Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_2#_small@;Vegetable#_0.5#_large@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)	
carrot	Spring@;Summer@;Autumn@;Winter	Vegetable#_0.5#_cup (cooked)@;Vegetable#_2#_small@;Vegetable#_1#_medium@;Vegetable#_0.5#_large@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)	
cauliflower	Spring@;Autumn@;Winter	Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)	
celeriac	Winter	Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)	
celery	Spring@;Summer@;Autumn@;Winter	Vegetable#_1#_stick@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)	
cheese (Parmesan grated)	Spring@;Summer@;Autumn@;Winter	Calcium#_40#_g@;Other#_1#_tbsp@;Other#_1#_some	
cheese (grated)	Spring@;Summer@;Autumn@;Winter	Calcium#_0.25#_cup@;Calcium#_40#_g@;Other#_1#_some	
cheese (hard)	Spring@;Summer@;Autumn@;Winter	Calcium#_40#_g@;Calcium#_2#_slices	
cheese (ricotta)	Spring@;Summer@;Autumn@;Winter	Calcium#_0.5#_cup@;Calcium#_120#_g	
cherry	Spring@;Summer	Fruit#_150#_g@;Fruit#_1#_cup	
cherry tomato	Spring@;Summer@;Autumn	Fruit#_150#_g@;Fruit#_2#_whole	
chicken	Spring@;Summer@;Autumn@;Winter	Protein#_80#_g (cooked)@;Protein#_100#_g (raw)	
chicken breast (no skin)	Spring@;Summer@;Autumn@;Winter	Protein#_80#_g (cooked)@;Protein#_100#_g (raw)@;Protein#_1#_small	
chickpea	Spring@;Summer@;Autumn@;Winter	Protein#_0.5#_cup (dried)@;Protein#_150#_g (cooked)@;Protein#_1#_cup (cooked)@;Protein#_75#_g (dried)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.25#_cup (dried)@;Vegetable#_37#_g (dried)@;Vegetable#_0.5#_cup (cooked)	
chilli	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp@;Other#_1#_some	
chilli (red)	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp@;Other#_1#_whole@;Other#_1#_some	
choko	Spring@;Autumn@;Winter	Vegetable#_1#_medium@;Vegetable#_0.5#_large@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_2#_small	
choy sum (asian green)	Spring@;Autumn@;Winter	Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)	
chrysanthemum (asian green)	Spring@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)	
chutney	Spring@;Summer@;Autumn@;Winter	Other#_1#_some@;Other#_1#_tsp	
coconut	Summer	Fruit#_150#_g@;Fruit#_1#_cup	
coconut milk	Spring@;Summer@;Autumn@;Winter	Other#_1#_some@;Other#_1#_cup	
coriander	Spring@;Summer@;Autumn@;Winter	Other#_1#_some	
corn	Spring@;Summer@;Autumn	Vegetable#_1#_cup@;Vegetable#_75#_g	
corn kernels	Spring@;Summer@;Autumn@;Winter	Vegetable#_200#_g@;Vegetable#_0.5#_can	
cornflour	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp	
couscous	Spring@;Summer@;Autumn@;Winter	Grain#_50#_g (raw)@;Grain#_100#_g (cooked)@;Grain#_0.5#_cup (cooked)@;Grain#_0.25#_cup (raw)	
cowpea snap	Summer	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)	
cranberry	Autumn	Fruit#_150#_g@;Fruit#_1#_cup	
crispbreads	Spring@;Summer@;Autumn@;Winter	Grain#_35#_g@;Grain#_3#_whole	
crumpet	Spring@;Summer@;Autumn@;Winter	Grain#_60#_g@;Grain#_1#_whole	
cucumber	Summer@;Autumn@;Winter	Vegetable#_1#_medium@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_2#_small@;Vegetable#_0.5#_large	
cucumber (Lebanese)	Summer@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_2#_small@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_0.5#_large@;Vegetable#_1#_medium	
cumin or curry powder	Spring@;Summer@;Autumn@;Winter	Other#_1#_tsp	
cumquat/kumquat	Spring@;Autumn@;Winter	Fruit#_150#_g@;Fruit#_1#_cup	
curry powder or paste	Spring@;Summer@;Autumn@;Winter	Other#_8#_g@;Other#_1#_some@;Other#_1#_tbsp	
custard apple/sugar-apple/sweetsop	Autumn@;Winter	Fruit#_1#_whole@;Fruit#_150#_g	
daikon/radish	Spring@;Summer@;Autumn	Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_0.5#_large@;Vegetable#_2#_small@;Vegetable#_1#_medium@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)	
date	Autumn	Fruit#_150#_g@;Fruit#_1#_cup	
